escenario,espera_promedio_media,pct_cumple_sla_media,utilizacion_simulada_media
Optimista (enero),4.170500397805779,97.81666666666668,29.933953280158825
Normal (promedio anual),12.79418451118318,93.67293262164462,41.57541540537582
Pesimista (diciembre),43.1703286239274,82.38918226916307,56.91294692051767
