espera_promedio,pct_cumple_sla,utilizacion_teorica,utilizacion_simulada,escenario,replica
3.5655357097685396,97.76666666666667,0.29865266142415736,0.2938636050729614,Optimista (enero),1
4.885154022299416,97.43333333333334,0.29865266142415736,0.31317373542488003,Optimista (enero),2
4.542033547758404,97.53333333333333,0.29865266142415736,0.2950144291020715,Optimista (enero),3
6.184417002078449,97.06666666666666,0.29865266142415736,0.3025067645538107,Optimista (enero),4
5.560780085169884,96.73333333333333,0.29865266142415736,0.307247783542596,Optimista (enero),5
3.546185278069637,97.76666666666667,0.29865266142415736,0.29170405383548176,Optimista (enero),6
3.8035398548087107,97.93333333333332,0.29865266142415736,0.2970583403644489,Optimista (enero),7
3.431355376149059,97.8,0.29865266142415736,0.29165092961351485,Optimista (enero),8
3.3694089676629604,98.0,0.29865266142415736,0.30184707035158653,Optimista (enero),9
3.8036376103657217,97.83333333333334,0.29865266142415736,0.3053784414569185,Optimista (enero),10
2.2891381200814127,98.46666666666667,0.29865266142415736,0.2862603310993456,Optimista (enero),11
4.319185311460012,97.53333333333333,0.29865266142415736,0.30053301923828496,Optimista (enero),12
2.6055097635281586,98.43333333333332,0.29865266142415736,0.2970455706961459,Optimista (enero),13
6.050635171725555,96.86666666666667,0.29865266142415736,0.31327885665597244,Optimista (enero),14
5.501135520711976,97.0,0.29865266142415736,0.3081340578159238,Optimista (enero),15
4.267145951232262,97.66666666666667,0.29865266142415736,0.2979064825998567,Optimista (enero),16
4.829144064296612,97.03333333333333,0.29865266142415736,0.29665240185755026,Optimista (enero),17
3.517410173074721,98.2,0.29865266142415736,0.29461423144710513,Optimista (enero),18
2.8828158606526864,98.36666666666667,0.29865266142415736,0.29360023620984144,Optimista (enero),19
2.350934659197348,98.63333333333333,0.29865266142415736,0.2996226228316155,Optimista (enero),20
3.2769898437190155,98.1,0.29865266142415736,0.3057770699300514,Optimista (enero),21
3.5851869805166383,97.93333333333332,0.29865266142415736,0.28024040652893495,Optimista (enero),22
3.897483952403401,97.73333333333333,0.29865266142415736,0.31456968148384007,Optimista (enero),23
3.6791829798750233,97.73333333333333,0.29865266142415736,0.29838665000568493,Optimista (enero),24
2.357588064190021,98.76666666666667,0.29865266142415736,0.30108741801222616,Optimista (enero),25
2.8273891087637857,98.3,0.29865266142415736,0.28774344519438416,Optimista (enero),26
5.542073171952218,97.5,0.29865266142415736,0.3044184678559304,Optimista (enero),27
2.7126496984301345,98.73333333333333,0.29865266142415736,0.291276191945267,Optimista (enero),28
4.512258639462644,97.7,0.29865266142415736,0.3047498194666022,Optimista (enero),29
2.528186088072019,98.66666666666667,0.29865266142415736,0.29029630993208755,Optimista (enero),30
14.652701515965964,93.223485727547,0.41408796697764094,0.41143803775531756,Normal (promedio anual),1
16.98050898119098,92.8985843583198,0.41408796697764094,0.43292260873836746,Normal (promedio anual),2
14.030359303309318,92.62009747041077,0.41408796697764094,0.4170132398212848,Normal (promedio anual),3
12.998313100331254,93.73404502204687,0.41408796697764094,0.40664458773800793,Normal (promedio anual),4
12.297332647707131,94.54629844511487,0.41408796697764094,0.4029324251373779,Normal (promedio anual),5
11.520674667374102,93.91970294731956,0.41408796697764094,0.4063935236665667,Normal (promedio anual),6
15.786639635603208,92.411232304479,0.41408796697764094,0.42447585420163464,Normal (promedio anual),7
11.48077782925802,93.91970294731956,0.41408796697764094,0.4039518901897592,Normal (promedio anual),8
10.566344471157258,94.26781155720585,0.41408796697764094,0.41917237892267034,Normal (promedio anual),9
10.61499222596577,94.68554188906938,0.41408796697764094,0.40627834385446754,Normal (promedio anual),10
13.409482922782475,93.45555813413785,0.41408796697764094,0.4139687089306831,Normal (promedio anual),11
